texte,domaine,priorite
mon téléphone est mort,MATÉRIEL,Basse
la fibre est en panne,INFRA,Haute
mon téléphone est cassé,MATÉRIEL,Basse
le vpn me refuse l'accès,ACCÈS,Moyenne
mon pc est mort,MATÉRIEL,Basse
mon login est expiré,ACCÈS,Moyenne
un entrepot est en train de s'écrouler aidez-moi,POMPIER,Moyenne
il y a un tueur en série,POLICE,Haute
il y a du feu chez moi,POMPIER,Haute
le routeur a fondu,INFRA,Haute
je saigne,MÉDICAL,Moyenne
la webcam a l'écran fissuré,MATÉRIEL,Basse
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
un voleur me suit dans la rue aidez-moi,POLICE,Moyenne
ma vie est en danger,POLICE,Haute
quelqu'un a cassé mon bras,MÉDICAL,Moyenne
je cassé mon bras vite,MÉDICAL,Moyenne
au secours on me tire dessus,POLICE,Haute
mon compte affiche une erreur,ACCÈS,Moyenne
je très mal au dos,MÉDICAL,Moyenne
ma souris a un faux contact,MATÉRIEL,Basse
ma souris marche plus,MATÉRIEL,Basse
mon collègue a très mal au coeur.,MÉDICAL,Haute
mon ex a un fusil aidez-moi,POLICE,Haute
un voleur a un fusil,POLICE,Haute
quelqu'un a du mal à respirer aidez-moi,MÉDICAL,Haute
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
mon fils a cassé mon bras,MÉDICAL,Moyenne
mon collègue a cassé mon bras ma vie est en danger,MÉDICAL,Moyenne
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
mon téléphone marche plus,MATÉRIEL,Basse
mon ami a une grosse hémorragie je suis en danger,MÉDICAL,Haute
un pont s'est effondré.,POMPIER,Haute
mon login est expiré,ACCÈS,Moyenne
l'hyperviseur a crashé,INFRA,Haute
mon pc est mort,MATÉRIEL,Basse
un entrepot a été soufflé par une explosion.,POMPIER,Haute
mon compte n'est pas reconnu,ACCÈS,Moyenne
ma souris ne s'allume pas,MATÉRIEL,Basse
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
ma femme a perdu ma jambe vite,MÉDICAL,Haute
j'ai perdu ma jambe,MÉDICAL,Haute
ma femme a le nez cassé!,MÉDICAL,Moyenne
mon ex veut me poignarder,POLICE,Haute
le réseau a fondu,INFRA,Haute
il y'a une aggression,POLICE,Haute
il y a du feu chez moi,POMPIER,Haute
j'ai très mal au coeur,MÉDICAL,Haute
je me suis fais tirer dessus,POLICE,Haute
le routeur a une latence énorme,INFRA,Haute
l'hyperviseur ne répond plus,INFRA,Haute
je saigne,MÉDICAL,Moyenne
mon clavier est cassé,MATÉRIEL,Basse
un batiment vient de tomber,POMPIER,Haute
mon clavier est mort,MATÉRIEL,Basse
un immeuble est rempli de fumée ma vie est en danger,POMPIER,Haute
quelqu'un a le nez cassé je suis en danger,MÉDICAL,Moyenne
mon fils a très mal au dos.,MÉDICAL,Moyenne
un voleur a un couteau.,POLICE,Haute
j'ai du sang,MÉDICAL,Moyenne
un gars essaie de rentrer de force!,POLICE,Moyenne
j'ai du sang,MÉDICAL,Moyenne
un tueur est entré par effraction je suis en danger,POLICE,Moyenne
la forêt est en train de s'écrouler!,POMPIER,Moyenne
la webcam est mort,MATÉRIEL,Basse
le toit est en train de s'écrouler.,POMPIER,Moyenne
mon téléphone ne s'allume pas,MATÉRIEL,Basse
ma femme a très mal au dos.,MÉDICAL,Moyenne
un homme braque la banque!,POLICE,Haute
le routeur a fondu,INFRA,Haute
un individu est entré par effraction vite,POLICE,Moyenne
mon pc est mort,MATÉRIEL,Basse
ma souris marche plus,MATÉRIEL,Basse
le toit est en feu.,POMPIER,Haute
mon accès a été piraté,ACCÈS,Moyenne
le serveur est tombé,INFRA,Haute
le wifi est en panne,INFRA,Haute
je saigne,MÉDICAL,Moyenne
l'imprimante a l'écran fissuré,MATÉRIEL,Basse
ma session affiche une erreur,ACCÈS,Moyenne
un homme tire sur la foule vite,POLICE,Haute
un pont est en train de s'écrouler je suis en danger,POMPIER,Moyenne
l'hyperviseur est très lent,INFRA,Haute
la webcam ne répond plus,MATÉRIEL,Basse
un pont menace de s'écrouler.,POMPIER,Moyenne
la webcam ne s'allume pas,MATÉRIEL,Basse
des gens veut me poignarder aidez-moi,POLICE,Haute
des gens rode autour de la maison je suis en danger,POLICE,Moyenne
un voleur a un couteau aidez-moi,POLICE,Haute
ma femme a très mal au dos je suis en danger,MÉDICAL,Moyenne
la webcam est mort,MATÉRIEL,Basse
la forêt brûle!,POMPIER,Haute
la base de données a une latence énorme,INFRA,Haute
un inconnu a un fusil!,POLICE,Haute
une maison fuit du gaz,POMPIER,Haute
mon mot de passe est verrouillé,ACCÈS,Moyenne
ma souris a l'écran fissuré,MATÉRIEL,Basse
une usine est en train de s'écrouler,POMPIER,Moyenne
un voleur rode autour de la maison,POLICE,Moyenne
le vpn est verrouillé,ACCÈS,Moyenne
mon accès a été piraté,ACCÈS,Moyenne
mon fils a du mal à respirer aidez-moi,MÉDICAL,Haute
le vidéoprojecteur a un faux contact,MATÉRIEL,Basse
une usine est en train de s'écrouler.,POMPIER,Moyenne
le parking a été soufflé par une explosion ma vie est en danger,POMPIER,Haute
quelqu'un a le bras arraché je suis en danger,MÉDICAL,Haute
le parking a été soufflé par une explosion,POMPIER,Haute
mon écran clignote sans arrêt,MATÉRIEL,Basse
je du mal à respirer.,MÉDICAL,Haute
mon cœur me fait mal,MÉDICAL,Haute
j'ai du sang,MÉDICAL,Moyenne
mon casque a l'écran fissuré,MATÉRIEL,Basse
il y a un tueur en série,POLICE,Haute
un immeuble menace de s'écrouler je suis en danger,POMPIER,Moyenne
une centrale nucléaire est en train de s'écrouler!,POMPIER,Moyenne
mon ami a perdu ma jambe ma vie est en danger,MÉDICAL,Haute
le parking fuit du gaz!,POMPIER,Haute
une centrale nucléaire est en train de s'écrouler vite,POMPIER,Moyenne
l'imprimante marche plus,MATÉRIEL,Basse
quelqu'un a très mal au ventre!,MÉDICAL,Moyenne
un gars me suit dans la rue je suis en danger,POLICE,Moyenne
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
j'ai très mal au ventre vite,MÉDICAL,Moyenne
des gens est entré par effraction.,POLICE,Moyenne
mon fils a le crâne ouvert!,MÉDICAL,Haute
le datacenter a une latence énorme,INFRA,Haute
le routeur est tombé,INFRA,Haute
un batiment est en train de s'écrouler vite,POMPIER,Moyenne
ma souris marche plus,MATÉRIEL,Basse
ma souris est cassé,MATÉRIEL,Basse
je le nez cassé.,MÉDICAL,Moyenne
mon compte me refuse l'accès,ACCÈS,Moyenne
mon ami a avalé du poison aidez-moi,MÉDICAL,Haute
un homme rode autour de la maison aidez-moi,POLICE,Moyenne
des gens est entré par effraction,POLICE,Moyenne
le datacenter a fondu,INFRA,Haute
le réseau ne répond plus,INFRA,Haute
une maison est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon fils a du mal à respirer vite,MÉDICAL,Haute
mon ami a le bras arraché aidez-moi,MÉDICAL,Haute
un pont est en feu.,POMPIER,Haute
il y a un tueur en série,POLICE,Haute
le toit vient d'exploser!,POMPIER,Haute
le toit s'est effondré ma vie est en danger,POMPIER,Haute
ma session est expiré,ACCÈS,Moyenne
il y a un gars qui m'a tirer dessus,POLICE,Haute
mon authentification est verrouillé,ACCÈS,Moyenne
le serveur a crashé,INFRA,Haute
mon mot de passe est verrouillé,ACCÈS,Moyenne
mon écran a un faux contact,MATÉRIEL,Basse
le serveur ne répond plus,INFRA,Haute
je saigne du doigt,MÉDICAL,Basse
mon compte affiche une erreur,ACCÈS,Moyenne
quelqu'un essaie de me tuer aidez-moi,POLICE,Haute
la forêt menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
une maison a été soufflé par une explosion vite,POMPIER,Haute
mon pc a un faux contact,MATÉRIEL,Basse
un immeuble menace de s'écrouler,POMPIER,Moyenne
mon login me refuse l'accès,ACCÈS,Moyenne
un inconnu est entré par effraction.,POLICE,Moyenne
un homme braque la banque aidez-moi,POLICE,Haute
ma femme a avalé du poison vite,MÉDICAL,Haute
j'ai du sang,MÉDICAL,Moyenne
mon login est bloqué,ACCÈS,Moyenne
mon accès est bloqué,ACCÈS,Moyenne
quelqu'un tire sur la foule.,POLICE,Haute
je me suis fais tirer dessus,POLICE,Haute
un voleur essaie de rentrer de force,POLICE,Moyenne
ma session est bloqué,ACCÈS,Moyenne
ma souris est cassé,MATÉRIEL,Basse
le vpn n'est pas reconnu,ACCÈS,Moyenne
mon compte est expiré,ACCÈS,Moyenne
un fou rode autour de la maison.,POLICE,Moyenne
le vpn affiche une erreur,ACCÈS,Moyenne
ma femme a très mal au coeur!,MÉDICAL,Haute
le wifi a fondu,INFRA,Haute
un individu essaie de rentrer de force aidez-moi,POLICE,Moyenne
un batiment est en feu ma vie est en danger,POMPIER,Haute
un pont est en train de s'écrouler.,POMPIER,Moyenne
une usine menace de s'écrouler!,POMPIER,Moyenne
le parking est en train de s'écrouler!,POMPIER,Moyenne
la webcam est mort,MATÉRIEL,Basse
mon login est bloqué,ACCÈS,Moyenne
une maison est rempli de fumée vite,POMPIER,Haute
un immeuble vient d'exploser,POMPIER,Haute
mon login est bloqué,ACCÈS,Moyenne
quelqu'un a le nez cassé,MÉDICAL,Moyenne
des gens braque la banque vite,POLICE,Haute
un voleur est entré par effraction!,POLICE,Moyenne
il y a du feu chez moi,POMPIER,Haute
ma vie est en danger,POLICE,Haute
un homme est entré par effraction aidez-moi,POLICE,Moyenne
un gars est entré par effraction!,POLICE,Moyenne
il y a un braquage,POLICE,Haute
une centrale nucléaire s'est effondré aidez-moi,POMPIER,Haute
ma session est verrouillé,ACCÈS,Moyenne
mon téléphone fait un bruit bizarre,MATÉRIEL,Basse
il y a quelqu'un qui tire,POLICE,Haute
le wifi ne répond plus,INFRA,Haute
mon fils a perdu ma jambe vite,MÉDICAL,Haute
un voleur braque la banque,POLICE,Haute
le serveur a une latence énorme,INFRA,Haute
une maison est rempli de fumée.,POMPIER,Haute
je cassé mon bras ma vie est en danger,MÉDICAL,Moyenne
je me suis fais tirer dessus,POLICE,Haute
le parking menace de s'écrouler!,POMPIER,Moyenne
mon login affiche une erreur,ACCÈS,Moyenne
quelqu'un a le nez cassé!,MÉDICAL,Moyenne
une maison est en train de s'écrouler vite,POMPIER,Moyenne
je me suis fais tirer dessus,POLICE,Haute
mon fils a du sang partout je suis en danger,MÉDICAL,Haute
j'ai fait un malaise je suis en danger,MÉDICAL,Haute
l'hyperviseur affiche une erreur 500,INFRA,Haute
mon collègue a perdu un oeil ma vie est en danger,MÉDICAL,Haute
une maison est en train de s'écrouler!,POMPIER,Moyenne
un inconnu essaie de me tuer ma vie est en danger,POLICE,Haute
mon clavier ne répond plus,MATÉRIEL,Basse
le vidéoprojecteur clignote sans arrêt,MATÉRIEL,Basse
quelqu'un a du mal à respirer aidez-moi,MÉDICAL,Haute
quelqu'un a perdu un oeil.,MÉDICAL,Haute
l'imprimante a un faux contact,MATÉRIEL,Basse
un homme a sorti une arme!,POLICE,Haute
une maison est en feu!,POMPIER,Haute
mon fils a très mal au dos!,MÉDICAL,Moyenne
j'ai cassé mon nez,MÉDICAL,Moyenne
le vidéoprojecteur fait un bruit bizarre,MATÉRIEL,Basse
il y a un braquage,POLICE,Haute
mon clavier est cassé,MATÉRIEL,Basse
mon ami a cassé mon bras je suis en danger,MÉDICAL,Moyenne
mon collègue a perdu ma jambe je suis en danger,MÉDICAL,Haute
ma femme a très mal au dos ma vie est en danger,MÉDICAL,Moyenne
ma souris a l'écran fissuré,MATÉRIEL,Basse
un pont menace de s'écrouler aidez-moi,POMPIER,Moyenne
des gens est entré par effraction!,POLICE,Moyenne
mon écran est mort,MATÉRIEL,Basse
mon ami a perdu ma jambe aidez-moi,MÉDICAL,Haute
quelqu'un a du mal à respirer.,MÉDICAL,Haute
je me suis fais tirer dessus,POLICE,Haute
le toit est en train de s'écrouler aidez-moi,POMPIER,Moyenne
ma souris marche plus,MATÉRIEL,Basse
mon authentification n'est pas reconnu,ACCÈS,Moyenne
mon casque est cassé,MATÉRIEL,Basse
un voleur est entré par effraction aidez-moi,POLICE,Moyenne
quelqu'un m'a tiré dessus aidez-moi,POLICE,Haute
un inconnu a un couteau ma vie est en danger,POLICE,Haute
j'ai du sang,MÉDICAL,Moyenne
un voleur a sorti une arme.,POLICE,Haute
une maison est en feu ma vie est en danger,POMPIER,Haute
le parking a pris feu vite,POMPIER,Haute
une usine brûle.,POMPIER,Haute
la forêt vient d'exploser je suis en danger,POMPIER,Haute
j'ai le nez cassé je suis en danger,MÉDICAL,Moyenne
l'hyperviseur est très lent,INFRA,Haute
un gars est entré par effraction!,POLICE,Moyenne
l'imprimante fait un bruit bizarre,MATÉRIEL,Basse
la webcam marche plus,MATÉRIEL,Basse
je me suis fais tirer dessus,POLICE,Haute
une maison menace de s'écrouler!,POMPIER,Moyenne
j'ai le nez cassé!,MÉDICAL,Moyenne
mon pc ne répond plus,MATÉRIEL,Basse
une central nucléaire vient d'exploser,POMPIER,Haute
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
je du sang partout je suis en danger,MÉDICAL,Haute
le réseau est très lent,INFRA,Haute
j'ai perdu ma jambe,MÉDICAL,Haute
mon ex a un fusil!,POLICE,Haute
je me suis fais tirer dessus,POLICE,Haute
le wifi est tombé,INFRA,Haute
mon fils a le nez cassé,MÉDICAL,Moyenne
le vidéoprojecteur fait un bruit bizarre,MATÉRIEL,Basse
je le nez cassé vite,MÉDICAL,Moyenne
ma souris ne s'allume pas,MATÉRIEL,Basse
je le nez cassé!,MÉDICAL,Moyenne
un immeuble menace de s'écrouler vite,POMPIER,Moyenne
il y a un gars qui m'a tirer dessus,POLICE,Haute
j'ai du sang,MÉDICAL,Moyenne
je une grosse hémorragie,MÉDICAL,Haute
le datacenter affiche une erreur 500,INFRA,Haute
mon collègue a perdu ma jambe,MÉDICAL,Haute
le serveur a fondu,INFRA,Haute
il y a quelqu'un qui tire,POLICE,Haute
mon ami a le bras arraché,MÉDICAL,Haute
des gens essaie de rentrer de force vite,POLICE,Moyenne
un immeuble a pris feu vite,POMPIER,Haute
ma femme a très mal au ventre aidez-moi,MÉDICAL,Moyenne
mon login ne marche plus,ACCÈS,Moyenne
une maison est en train de s'écrouler aidez-moi,POMPIER,Moyenne
un batiment est rempli de fumée!,POMPIER,Haute
mon collègue a très mal au ventre vite,MÉDICAL,Moyenne
mon ami a très mal au dos!,MÉDICAL,Moyenne
mon ex tire sur la foule,POLICE,Haute
un inconnu rode autour de la maison vite,POLICE,Moyenne
il y'a une aggression,POLICE,Haute
un inconnu me suit dans la rue vite,POLICE,Moyenne
mon pc ne répond plus,MATÉRIEL,Basse
la fibre affiche une erreur 500,INFRA,Haute
l'hyperviseur est très lent,INFRA,Haute
un inconnu me suit dans la rue!,POLICE,Moyenne
j'ai du sang,MÉDICAL,Moyenne
un individu est entré par effraction aidez-moi,POLICE,Moyenne
le serveur a crashé,INFRA,Haute
un immeuble a pris feu vite,POMPIER,Haute
un individu me suit dans la rue aidez-moi,POLICE,Moyenne
un pont menace de s'écrouler vite,POMPIER,Moyenne
la forêt est en feu.,POMPIER,Haute
un homme braque la banque!,POLICE,Haute
mon pc ne s'allume pas,MATÉRIEL,Basse
je me suis fais tirer dessus,POLICE,Haute
une maison a pris feu.,POMPIER,Haute
au secours on me tire dessus,POLICE,Haute
je très mal au dos!,MÉDICAL,Moyenne
un gars rode autour de la maison je suis en danger,POLICE,Moyenne
je cassé mon bras,MÉDICAL,Moyenne
un inconnu braque la banque je suis en danger,POLICE,Haute
mon ami a perdu ma jambe!,MÉDICAL,Haute
le parking vient d'exploser!,POMPIER,Haute
mon authentification affiche une erreur,ACCÈS,Moyenne
l'imprimante fait un bruit bizarre,MATÉRIEL,Basse
la webcam clignote sans arrêt,MATÉRIEL,Basse
l'hyperviseur a crashé,INFRA,Haute
mon collègue a très mal au ventre je suis en danger,MÉDICAL,Moyenne
quelqu'un a cassé mon bras!,MÉDICAL,Moyenne
mon coeur me fait mal,MÉDICAL,Haute
un immeuble a pris feu,POMPIER,Haute
mon ex a un fusil vite,POLICE,Haute
mon pc marche plus,MATÉRIEL,Basse
le réseau affiche une erreur 500,INFRA,Haute
le wifi est très lent,INFRA,Haute
mon casque a l'écran fissuré,MATÉRIEL,Basse
une centrale nucléaire est en train de s'écrouler!,POMPIER,Moyenne
je saigne,MÉDICAL,Moyenne
mon fils a le crâne ouvert!,MÉDICAL,Haute
mon compte ne marche plus,ACCÈS,Moyenne
le vidéoprojecteur fait un bruit bizarre,MATÉRIEL,Basse
l'hyperviseur est en panne,INFRA,Haute
le datacenter est très lent,INFRA,Haute
un voleur essaie de rentrer de force ma vie est en danger,POLICE,Moyenne
des gens est entré par effraction!,POLICE,Moyenne
le wifi affiche une erreur 500,INFRA,Haute
des gens essaie de me tuer vite,POLICE,Haute
mon collègue a le bras arraché ma vie est en danger,MÉDICAL,Haute
j'ai cassé mon bras!,MÉDICAL,Moyenne
la webcam a un faux contact,MATÉRIEL,Basse
la forêt fuit du gaz!,POMPIER,Haute
la base de données affiche une erreur 500,INFRA,Haute
le vpn est bloqué,ACCÈS,Moyenne
le routeur affiche une erreur 500,INFRA,Haute
des gens essaie de me tuer!,POLICE,Haute
ma vie est en danger,POLICE,Haute
j'ai très mal au dos!,MÉDICAL,Moyenne
un immeuble est en train de s'écrouler vite,POMPIER,Moyenne
quelqu'un a cassé mon bras ma vie est en danger,MÉDICAL,Moyenne
mon casque marche plus,MATÉRIEL,Basse
ma vie est en danger,POLICE,Haute
le vpn est bloqué,ACCÈS,Moyenne
l'hyperviseur affiche une erreur 500,INFRA,Haute
ma souris est cassé,MATÉRIEL,Basse
un homme veut me poignarder vite,POLICE,Haute
un fou a sorti une arme je suis en danger,POLICE,Haute
un immeuble s'est effondré.,POMPIER,Haute
le wifi a fondu,INFRA,Haute
mon ex braque la banque vite,POLICE,Haute
un entrepot fuit du gaz!,POMPIER,Haute
une usine est en feu je suis en danger,POMPIER,Haute
mon ami a avalé du poison.,MÉDICAL,Haute
mon coeur me fait mal,MÉDICAL,Haute
un homme est entré par effraction aidez-moi,POLICE,Moyenne
la fibre ne répond plus,INFRA,Haute
mon écran a un faux contact,MATÉRIEL,Basse
je le crâne ouvert vite,MÉDICAL,Haute
la base de données est tombé,INFRA,Haute
une centrale nucléaire a pris feu vite,POMPIER,Haute
quelqu'un a le nez cassé.,MÉDICAL,Moyenne
un individu rode autour de la maison!,POLICE,Moyenne
j'ai le crâne ouvert je suis en danger,MÉDICAL,Haute
j'ai très mal au dos vite,MÉDICAL,Moyenne
le datacenter a crashé,INFRA,Haute
quelqu'un me suit dans la rue!,POLICE,Moyenne
mon authentification est verrouillé,ACCÈS,Moyenne
une voiture a été soufflé par une explosion je suis en danger,POMPIER,Haute
un pont a pris feu!,POMPIER,Haute
un immeuble menace de s'écrouler vite,POMPIER,Moyenne
un voleur essaie de rentrer de force,POLICE,Moyenne
la fibre est très lent,INFRA,Haute
mon casque est mort,MATÉRIEL,Basse
il y a quelqu'un qui tire,POLICE,Haute
mon collègue a très mal au ventre aidez-moi,MÉDICAL,Moyenne
quelqu'un a très mal au ventre vite,MÉDICAL,Moyenne
il y a un gars qui m'a tirer dessus,POLICE,Haute
ma souris ne s'allume pas,MATÉRIEL,Basse
le vidéoprojecteur a l'écran fissuré,MATÉRIEL,Basse
la base de données ne répond plus,INFRA,Haute
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
le datacenter ne répond plus,INFRA,Haute
ma vie est en danger,POLICE,Haute
j'ai le nez cassé aidez-moi,MÉDICAL,Moyenne
quelqu'un a du sang partout ma vie est en danger,MÉDICAL,Haute
la forêt s'est effondré ma vie est en danger,POMPIER,Haute
je très mal au coeur!,MÉDICAL,Haute
j'ai du sang,MÉDICAL,Moyenne
un fou rode autour de la maison!,POLICE,Moyenne
ma souris est cassé,MATÉRIEL,Basse
mon téléphone a l'écran fissuré,MATÉRIEL,Basse
il y'a une aggression,POLICE,Haute
mon cœur me fait mal,MÉDICAL,Haute
un tueur me suit dans la rue je suis en danger,POLICE,Moyenne
un individu rode autour de la maison aidez-moi,POLICE,Moyenne
une voiture est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon cœur me fait mal,MÉDICAL,Haute
mon ami a très mal au coeur aidez-moi,MÉDICAL,Haute
une voiture est en train de s'écrouler!,POMPIER,Moyenne
mon écran est bloqué,MATÉRIEL,Basse
une maison à exploser,POMPIER,Haute
le routeur ne répond plus,INFRA,Haute
un fou m'a tiré dessus!,POLICE,Haute
une maison menace de s'écrouler!,POMPIER,Moyenne
ma souris marche plus,MATÉRIEL,Basse
mon authentification ne marche plus,ACCÈS,Moyenne
le parking menace de s'écrouler je suis en danger,POMPIER,Moyenne
il y'a une aggression,POLICE,Haute
ma femme a très mal au ventre vite,MÉDICAL,Moyenne
il y a un gars qui m'a tirer dessus,POLICE,Haute
un fou tire sur la foule ma vie est en danger,POLICE,Haute
ma session a été piraté,ACCÈS,Moyenne
le parking fuit du gaz,POMPIER,Haute
un tueur veut me poignarder,POLICE,Haute
l'hyperviseur affiche une erreur 500,INFRA,Haute
mon clavier clignote sans arrêt,MATÉRIEL,Basse
j'ai perdu ma jambe,MÉDICAL,Haute
quelqu'un me suit dans la rue aidez-moi,POLICE,Moyenne
mon authentification me refuse l'accès,ACCÈS,Moyenne
des gens a un couteau ma vie est en danger,POLICE,Haute
la forêt menace de s'écrouler!,POMPIER,Moyenne
mon clavier ne s'allume pas,MATÉRIEL,Basse
mon ex a un couteau vite,POLICE,Haute
mon login est expiré,ACCÈS,Moyenne
un tueur rode autour de la maison ma vie est en danger,POLICE,Moyenne
mon login est bloqué,ACCÈS,Moyenne
ma session est expiré,ACCÈS,Moyenne
le vidéoprojecteur fait un bruit bizarre,MATÉRIEL,Basse
mon ami a une grosse hémorragie aidez-moi,MÉDICAL,Haute
un fou rode autour de la maison je suis en danger,POLICE,Moyenne
un tueur braque la banque.,POLICE,Haute
je le nez cassé,MÉDICAL,Moyenne
le wifi ne répond plus,INFRA,Haute
un batiment vient de tomber,POMPIER,Haute
mon écran ne s'allume pas,MATÉRIEL,Basse
une centrale nucléaire est en feu!,POMPIER,Haute
le datacenter est en panne,INFRA,Haute
je cassé mon bras ma vie est en danger,MÉDICAL,Moyenne
j'ai très mal au dos vite,MÉDICAL,Moyenne
ma vie est en danger,POLICE,Haute
mon clavier est mort,MATÉRIEL,Basse
l'hyperviseur a une latence énorme,INFRA,Haute
le vidéoprojecteur a l'écran fissuré,MATÉRIEL,Basse
la fibre a crashé,INFRA,Haute
une maison vient d'exploser.,POMPIER,Haute
j'ai cassé mon nez,MÉDICAL,Moyenne
la forêt est en train de s'écrouler vite,POMPIER,Moyenne
une maison vient d'exploser ma vie est en danger,POMPIER,Haute
ma session est expiré,ACCÈS,Moyenne
des gens essaie de me tuer!,POLICE,Haute
le routeur est très lent,INFRA,Haute
mon compte n'est pas reconnu,ACCÈS,Moyenne
ma femme a le nez cassé vite,MÉDICAL,Moyenne
ma souris est cassé,MATÉRIEL,Basse
le datacenter est très lent,INFRA,Haute
mon écran a un faux contact,MATÉRIEL,Basse
quelqu'un a fait un malaise ma vie est en danger,MÉDICAL,Haute
un immeuble est en train de s'écrouler,POMPIER,Moyenne
la fibre est très lent,INFRA,Haute
mon ami a fait un malaise!,MÉDICAL,Haute
le serveur est tombé,INFRA,Haute
un immeuble menace de s'écrouler vite,POMPIER,Moyenne
la webcam est mort,MATÉRIEL,Basse
il y a un tueur en série,POLICE,Haute
je le nez cassé.,MÉDICAL,Moyenne
une maison a été soufflé par une explosion je suis en danger,POMPIER,Haute
quelqu'un a perdu un oeil ma vie est en danger,MÉDICAL,Haute
un homme me frappe au visage!,POLICE,Haute
un fou veut me poignarder aidez-moi,POLICE,Haute
mon compte n'est pas reconnu,ACCÈS,Moyenne
quelqu'un a le nez cassé vite,MÉDICAL,Moyenne
mon ami a très mal au ventre.,MÉDICAL,Moyenne
il y a un gars qui m'a tirer dessus,POLICE,Haute
mon téléphone clignote sans arrêt,MATÉRIEL,Basse
une maison menace de s'écrouler!,POMPIER,Moyenne
un immeuble est en feu ma vie est en danger,POMPIER,Haute
un tueur me menace avec une arme ma vie est en danger,POLICE,Haute
le wifi a crashé,INFRA,Haute
un homme veut me poignarder!,POLICE,Haute
le toit est rempli de fumée je suis en danger,POMPIER,Haute
la forêt est en train de s'écrouler je suis en danger,POMPIER,Moyenne
mon fils a le nez cassé vite,MÉDICAL,Moyenne
mon pc est mort,MATÉRIEL,Basse
j'ai cassé mon nez,MÉDICAL,Moyenne
mon coeur me fait mal,MÉDICAL,Haute
la webcam est cassé,MATÉRIEL,Basse
un homme braque la banque,POLICE,Haute
je saigne,MÉDICAL,Moyenne
une maison brûle.,POMPIER,Haute
mon mot de passe me refuse l'accès,ACCÈS,Moyenne
la base de données a crashé,INFRA,Haute
un pont a pris feu,POMPIER,Haute
mon ex a un fusil.,POLICE,Haute
une usine s'est effondré!,POMPIER,Haute
mon casque est mort,MATÉRIEL,Basse
le vidéoprojecteur clignote sans arrêt,MATÉRIEL,Basse
un batiment est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
le routeur a une latence énorme,INFRA,Haute
ma souris marche plus,MATÉRIEL,Basse
je perdu ma jambe je suis en danger,MÉDICAL,Haute
le serveur est en panne,INFRA,Haute
j'ai du sang,MÉDICAL,Moyenne
mon téléphone ne répond plus,MATÉRIEL,Basse
un voleur veut me poignarder je suis en danger,POLICE,Haute
un batiment est rempli de fumée.,POMPIER,Haute
mon collègue a cassé mon bras,MÉDICAL,Moyenne
mon ex a sorti une arme vite,POLICE,Haute
mon fils a une grosse hémorragie!,MÉDICAL,Haute
quelqu'un a une grosse hémorragie je suis en danger,MÉDICAL,Haute
il y a un braquage,POLICE,Haute
je du sang partout,MÉDICAL,Haute
je du sang partout,MÉDICAL,Haute
une maison a pris feu je suis en danger,POMPIER,Haute
mon authentification est expiré,ACCÈS,Moyenne
mon accès est bloqué,ACCÈS,Moyenne
je très mal au dos je suis en danger,MÉDICAL,Moyenne
mon écran est mort,MATÉRIEL,Basse
mon écran est mort,MATÉRIEL,Basse
mon mot de passe est verrouillé,ACCÈS,Moyenne
ma femme a très mal au dos,MÉDICAL,Moyenne
une maison à exploser,POMPIER,Haute
le vpn ne marche plus,ACCÈS,Moyenne
il y a du feu chez moi,POMPIER,Haute
une centrale nucléaire brûle!,POMPIER,Haute
un gars a sorti une arme je suis en danger,POLICE,Haute
un gars tire sur la foule aidez-moi,POLICE,Haute
quelqu'un me suit dans la rue!,POLICE,Moyenne
mon coeur me fait mal,MÉDICAL,Haute
mon compte n'est pas reconnu,ACCÈS,Moyenne
une maison à exploser,POMPIER,Haute
mon collègue a le nez cassé je suis en danger,MÉDICAL,Moyenne
je saigne du doigt,MÉDICAL,Basse
un voleur a un fusil vite,POLICE,Haute
la base de données ne répond plus,INFRA,Haute
un immeuble est en train de s'écrouler aidez-moi,POMPIER,Moyenne
le vidéoprojecteur clignote sans arrêt,MATÉRIEL,Basse
un entrepot fuit du gaz,POMPIER,Haute
une usine est en train de s'écrouler.,POMPIER,Moyenne
la forêt est en train de s'écrouler aidez-moi,POMPIER,Moyenne
un batiment vient d'exploser ma vie est en danger,POMPIER,Haute
mon clavier est cassé,MATÉRIEL,Basse
quelqu'un me suit dans la rue!,POLICE,Moyenne
ma session n'est pas reconnu,ACCÈS,Moyenne
l'imprimante a l'écran fissuré,MATÉRIEL,Basse
ma session est expiré,ACCÈS,Moyenne
mon clavier clignote sans arrêt,MATÉRIEL,Basse
un tueur m'a tiré dessus je suis en danger,POLICE,Haute
il y a du feu chez moi,POMPIER,Haute
mon ex me suit dans la rue,POLICE,Moyenne
